allocation_architecture,employment,cell_count,positive_cell_count,gini_cell_employment,top_1_percent_cell_employment_share,maximum_cell_employment,cell_hhi,change_from_district_direct_gini_cell_employment,change_from_district_direct_top_1_percent_cell_employment_share,change_from_district_direct_maximum_cell_employment,change_from_district_direct_cell_hhi
district_direct_base,2336384,172233,39360,0.9322023231544901,0.400048964553772,4909,0.00016635709254134382,0.0,0.0,0,0.0
fine_control_base,2336384,172233,37026,0.9440855243861704,0.45159956582479593,6040,0.00020852604951780238,0.011883201231680296,0.051550601271023955,1131,4.216895697645856e-05
fine_control_building_volume_dominant,2336384,172233,37068,0.9444967520068934,0.4515289438722402,4524,0.0001955605710850979,0.012294428852403283,0.051479979318468205,-385,2.9203478543754073e-05
fine_control_workplace_evidence_emphasis,2336384,172233,36114,0.9468586233223687,0.47161254314359285,9029,0.00026597969000120424,0.014656300167878555,0.07156357858982088,4120,9.962259745986042e-05
