reporting_stratum,stratum_employment,employment_inside_50min,percentage_captured,boundary_is_approximate
FTZ Bonded Area,148999.99999999997,0.0,0.0,True
Jinqiao ETDZ,203000.0,79079.6303911662,38.9554829513134,True
Zhangjiang High-Tech Park,469000.0,461775.57150815486,98.45961012967055,True
ordinary streets/towns,1794000.0,854809.1919289632,47.648226974858595,True
Pudong residual,264157.0,0.0,0.0,True
