district,district_en,exact_district_employment,effectively_fully_inside_employment,effectively_fully_outside_employment,materially_partially_intersected_employment,effectively_fully_inside_control_count,effectively_fully_outside_control_count,materially_partially_intersected_control_count,fine_controlled_employment,uniform_jobs_inside_50min,building_jobs_inside_50min,ppml_jobs_inside_50min,residual_employment_separate,residual_central_inside_50min,employment_inside_50min,structural_lower_bound_fine_employment,structural_upper_bound_fine_employment,structural_lower_bound_shanghai_percentage,structural_upper_bound_shanghai_percentage
黄浦区,Huangpu,712613,448634,0,189645,7,0,3,638279,624505.7971628313,633098.3987804392,626945.5152420237,74334,74334.0,701279.5152420237,448634,638279,3.4247406161699474,4.872435026654998
徐汇区,Xuhui,1027746,0,485400,469000,0,7,6,954400,247859.57818333764,274133.6857758158,270813.33042007283,73346,0.0,270813.33042007283,0,469000,0.0,3.580208697922372
长宁区,Changning,602150,37808,101760,457408,1,1,8,596976,174804.42664913952,192024.30359090705,184104.5960008361,5174,2016.4025790549813,186120.9985798911,37808,495216,0.2886152035203604,3.780333967058263
静安区,Jing'an,973987,279000,249000,389000,3,4,7,917000,594052.9017068922,591361.0745098661,600142.4280555503,56987,54732.48232125132,654874.9103768016,279000,668000,2.1298043213653344,5.099316439684743
普陀区,Putuo,524969,0,287000,225000,0,6,4,512000,30991.586089099786,31513.36271065663,29384.7141858644,12969,1690.9695328505047,31075.683718714903,0,225000,0.0,1.717584130133334
虹口区,Hongkou,409389,40429,52708,286696,1,2,5,379833,245934.72073317558,271478.35724194493,250765.49946944098,29556,0.0,250765.49946944095,40429,327125,0.3086231502096025,2.497176482532742
杨浦区,Yangpu,510562,0,96893,404130,0,4,8,501023,205180.71300545294,204292.6324739451,200663.5952201336,9539,0.0,200663.59522013363,0,404130,0.0,3.085010108936819
浦东新区,Pudong,2879157,153750,514000,1947250,1,10,28,2615000,1377906.6335730087,1424454.1113648354,1395664.3938282842,264157,0.0,1395664.3938282842,153750,2101000,1.173682488924445,16.03841892182282
