limit_minutes,central_estimated_employment,percentage_of_shanghai_employment,incremental_employment,fine_control_uniform_employment,fine_control_building_volume_employment,fine_control_calibrated_workplace_employment,residual_central_employment,uniform_allocation_employment,uniform_allocation_percentage,building_volume_employment,building_volume_percentage,calibrated_workplace_model_employment,calibrated_workplace_model_percentage,residual_lower_bound_employment,residual_lower_bound_percentage,residual_upper_bound_employment,residual_upper_bound_percentage,reach_edge_inward_100m_employment,reach_edge_outward_100m_employment,reach_edge_displacement_minus_percentage_points,reach_edge_displacement_plus_percentage_points,reach_edge_displacement_absolute_percentage_points,employment_universe,denominator,geometry_is_approximate,approximate_boundary_disclosure,functional_zone_selected_employment,functional_zone_reported_area_interpretation_employment,functional_zone_conservative_lower_employment,functional_zone_conservative_upper_employment,reported_area_interpretation_total_employment,reported_area_interpretation_delta_percentage_points,functional_zone_support_lower_total_employment,functional_zone_support_upper_total_employment,boundary_sensitivity_lower_employment,boundary_sensitivity_upper_employment,boundary_sensitivity_minus_percentage_points,boundary_sensitivity_plus_percentage_points,boundary_sensitivity_absolute_percentage_points,boundary_sensitivity_components_are_not_added
10,64770.30084460463,0.4944375148206871,64770.30084460463,35064.062794298065,103571.87980868362,64770.30084460463,0.0,35064.062794298065,0.2676687901932669,103571.87980868362,0.7906374092776537,64770.30084460463,0.4944375148206871,64770.30084460463,0.4944375148206871,590832.3008446046,4.510240815559363,46215.5996044866,87902.75027955929,-0.1416411572861868,0.17658634684706637,0.17658634684706637,2023 secondary- and tertiary-sector legal-entity workplace employment,13099795,True,Street/town boundaries are OSM approximations cross-walked to 2023 controls; Pudong functional-zone supports are approximate 2020 statistical polygons and are redacted from the public grid.,62717.82175869926,55914.83184078643,0.0,821000.0,57967.310926691796,-0.05193203342428514,2052.4790859053683,823052.4790859054,2052.4790859053683,823052.4790859054,-0.47876949035232425,5.788504157823087,5.788504157823087,True
20,225058.69171788963,1.718032165525412,160288.390873285,164863.39754088322,297769.5240214436,225058.69171788963,0.0,164863.39754088322,1.258518912249262,297769.5240214436,2.2730853728737253,225058.69171788963,1.718032165525412,225058.69171788963,1.718032165525412,751120.6917178896,5.733835466264088,183606.15845116062,278172.3829823909,-0.31643650352336816,0.40545436981648375,0.40545436981648375,2023 secondary- and tertiary-sector legal-entity workplace employment,13099795,True,Street/town boundaries are OSM approximations cross-walked to 2023 controls; Pudong functional-zone supports are approximate 2020 statistical polygons and are redacted from the public grid.,190588.8070147914,176560.93665360368,0.0,821000.0,211030.8213567019,-0.10708465560863913,34469.884703098214,855469.8847030982,34469.884703098214,855469.8847030982,-1.4548991569317795,4.812374491243631,4.812374491243631,True
30,757795.3052477109,5.784787511924507,532736.6135298213,598273.9977542941,913339.0135810093,747290.7768919121,10504.528355798791,608778.5261100929,4.647237045389587,923843.5419368081,7.052351139363694,757795.3052477109,5.784787511924507,747290.7768919121,5.704599017709148,1273352.776891912,9.720402318447825,652531.6657837757,873841.9722364414,-0.8035518072148088,0.8858662825542731,0.8858662825542731,2023 secondary- and tertiary-sector legal-entity workplace employment,13099795,True,Street/town boundaries are OSM approximations cross-walked to 2023 controls; Pudong functional-zone supports are approximate 2020 statistical polygons and are redacted from the public grid.,331526.47351376124,317270.28916174296,0.0,821000.0,743539.1208956926,-0.1088275377745857,426268.83173394966,1247268.8317339497,426268.83173394966,1247268.8317339497,-2.5307760427835797,3.736497605391831,3.736497605391831,True
40,1998517.7162807318,15.256099170107104,1240722.4110330208,1822399.4677834185,2031794.741592184,1918990.5898116978,79527.12646903396,1901926.5942524525,14.51875082207357,2111321.868061218,16.11721304082406,1998517.7162807318,15.256099170107104,1918990.5898116978,14.649012368603461,2445052.5898116976,18.664815669342136,1743720.172300904,2283283.2308961255,-1.9450498574964552,2.173816572056232,2.173816572056232,2023 secondary- and tertiary-sector legal-entity workplace employment,13099795,True,Street/town boundaries are OSM approximations cross-walked to 2023 controls; Pudong functional-zone supports are approximate 2020 statistical polygons and are redacted from the public grid.,441733.21108930017,437465.76901644754,0.0,821000.0,1994250.274207879,-0.03257640346931102,1556784.5051914316,2377784.5051914314,1556784.5051914316,2377784.5051914314,-3.3720620138658672,2.895211634309541,3.3720620138658672,True
50,3691257.9268553634,28.177982379536193,1692740.2105746316,3501236.3571029427,3622355.9264484113,3558484.0724222064,132773.8544331568,3634010.2115360997,27.740970080341715,3755129.7808815683,28.665561414369982,3691257.9268553634,28.177982379536193,3558484.0724222064,27.164425644998307,4084546.0724222064,31.18022894573699,3460932.1930781174,3894907.9789671684,-1.7582392226538353,1.5546048782580564,1.7582392226538353,2023 secondary- and tertiary-sector legal-entity workplace employment,13099795,True,Street/town boundaries are OSM approximations cross-walked to 2023 controls; Pudong functional-zone supports are approximate 2020 statistical polygons and are redacted from the public grid.,540855.201899321,541121.0061974577,0.0,821000.0,3691523.7311535,0.0020290721964474723,3150402.724956042,3971402.724956042,3150402.724956042,3971402.724956042,-4.12873027325482,2.13854337492059,4.12873027325482,True
