district,district_en,exact_district_employment,priority_district,reference_date,employment_universe,individual_business_included,individual_business_employment_reported_separately,individual_business_source_reference,source_url,source_table,fine_controlled_employment,fine_employment_inside_50min,residual_employment,residual_central_inside_50min,employment_inside_50min,percentage_of_district_employment_captured,contribution_to_total_reach_employment_percentage,boundary_source,boundary_is_approximate
黄浦区,Huangpu,712613,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02,638279.0,626945.5152420237,74334,74334.0,701279.5152420237,98.40958770637411,18.998388330978923,OSM 2026-08-19; Pudong also uses restricted 2020 zone supports,True
徐汇区,Xuhui,1027746,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,17098.0,"Xuhui Table 1-8, printed/PDF page 8; excluded from benchmark",https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02,954400.0,270813.33042007283,73346,0.0,270813.33042007283,26.350219842263833,7.3366135823183365,OSM 2026-08-19; Pudong also uses restricted 2020 zone supports,True
长宁区,Changning,602150,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02,596976.0,184104.5960008361,5174,2016.4025790549813,186120.9985798911,30.909407718988806,5.042210603214345,OSM 2026-08-19; Pudong also uses restricted 2020 zone supports,True
静安区,Jing'an,973987,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02,917000.0,600142.4280555503,56987,54732.482321251315,654874.9103768016,67.23651448908473,17.74123952737974,OSM 2026-08-19; Pudong also uses restricted 2020 zone supports,True
普陀区,Putuo,524969,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02,512000.0,29384.7141858644,12969,1690.9695328505047,31075.683718714903,5.919527385181773,0.8418724547159655,OSM 2026-08-19; Pudong also uses restricted 2020 zone supports,True
虹口区,Hongkou,409389,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02,379833.0,250765.49946944098,29556,0.0,250765.49946944098,61.25359974729193,6.793497079817226,OSM 2026-08-19; Pudong also uses restricted 2020 zone supports,True
杨浦区,Yangpu,510562,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02,501023.0,200663.59522013363,9539,0.0,200663.59522013363,39.30249317813187,5.436184606885001,OSM 2026-08-19; Pudong also uses restricted 2020 zone supports,True
浦东新区,Pudong,2879157,True,2023-12-31,2023 secondary- and tertiary-sector legal-entity workplace employment,False,,not transcribed for this benchmark,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,A1-02,2615000.0,1395664.3938282842,264157,0.0,1395664.3938282842,48.47475819582899,37.809993814690465,OSM 2026-08-19; Pudong also uses restricted 2020 zone supports,True
