scenario,district,accounting_stratum_id,control_name,control_type,row_is_official_fine_control,official_row_total_employment,industry_code,control_industry_employment,industry_margin_source,matrix_method,residual_sector_assignment,ipf_iterations,ipf_maximum_margin_error,geometry_is_approximate
low_office_intensity,黄浦区,310101017000,小东门街道,street,True,126442,721,4294,reviewed Core+ district composition scenario,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101017000,小东门街道,street,True,126442,723,946,reviewed Core+ district composition scenario,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101017000,小东门街道,street,True,126442,724,6845,reviewed Core+ district composition scenario,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101017000,小东门街道,street,True,126442,725,1893,reviewed Core+ district composition scenario,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101017000,小东门街道,street,True,126442,OTHER,95737,balancing non-office remainder,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101018000,豫园街道,street,True,19681,I,1080,official district-by-industry,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101018000,豫园街道,street,True,19681,J,275,official district-by-industry,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101018000,豫园街道,street,True,19681,M,1248,official district-by-industry,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101018000,豫园街道,street,True,19681,721,669,reviewed Core+ district composition scenario,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101018000,豫园街道,street,True,19681,723,147,reviewed Core+ district composition scenario,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101018000,豫园街道,street,True,19681,724,1065,reviewed Core+ district composition scenario,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
low_office_intensity,黄浦区,310101018000,豫园街道,street,True,19681,725,295,reviewed Core+ district composition scenario,maximum-entropy independence prior fitted by RAS/IPF; deterministic controlled integer rounding,not applicable,1,0.0,True
