accounting_control,district,control_name,control_type,control_employment,control_area_m2,jrc_nres_volume_m3,poi_business_finance,poi_industry_logistics,poi_education_research,poi_retail_hospitality,poi_health_public,poi_other_economic,area_cell_equivalents,centroid_x,centroid_y,log1p_jrc_nres_volume_total,log1p_poi_business_finance_total,log1p_poi_industry_logistics_total,log1p_poi_education_research_total,log1p_poi_retail_hospitality_total,log1p_poi_health_public_total,log1p_poi_other_economic_total,spatial_holdout_fold,geographic_holdout_prediction,full_fit_prediction
310101002000,黄浦区,南京东路街道,street,101851,2388226.8749256823,3116084.171883811,27.87014561223984,8.976822654604913,10.639626595973969,309.291860567987,9.668043267130852,33.023841083049774,238.82268749256824,354153.16665178916,3456641.002870454,14.952088019323162,3.362808037383629,2.3002646683504038,2.4544153624050575,5.737513340262691,2.367252662098087,3.527061487209463,2,101149.7557746014,117239.95059485345
310101013000,黄浦区,外滩街道,street,113352,2220624.7295947094,870271.1248900677,29.871077058315276,3.8744841408729553,2.373339056968689,328.7585049985409,4.898301959037781,16.87665324866772,222.06247295947094,355521.226943893,3456905.242205339,13.676561228953002,3.429819728035492,1.58401428159394,1.2159030719196189,5.798360583527253,1.7746645059353647,2.8834955737391437,3,68425.5690825028,88064.27150563117
310101015000,黄浦区,半淞园路街道,street,30334,2858494.0262692217,1379194.7122280274,5.256402649879456,0.5687375068664551,4.755739412307739,36.77166377985478,0.8973915576934814,7.801732110381126,285.84940262692214,356076.88665384264,3453505.0690120426,14.137011070003343,1.8336053633648606,0.4502711601157793,1.7501975156423646,3.631559186054809,0.640480078558857,2.1749485328406633,1,46457.72734379374,42240.04971180418
310101017000,黄浦区,小东门街道,street,126442,2696950.6083268323,1005526.5091768563,6.37779470205307,0.0,0.6529256105422974,51.424683594560626,0.0,5.566832935810089,269.6950608326832,356897.67162521713,3455023.5864154873,13.821022846524585,1.998474773096514,0.0,0.5025468151295006,3.959377541377508,0.0,1.8820316669294082,3,30534.448707903117,41673.825101240065
310101018000,黄浦区,豫园街道,street,19681,1198881.7172667158,1782026.7673758985,7.146110538244248,2.3557732355594636,0.0,66.70059709012509,1.4319653511047363,2.6499325823783875,119.88817172667159,355610.82682792103,3455720.7411626624,14.393262469032848,2.097540578768852,1.2106822164648816,0.0,4.215094999526679,0.8886997169237854,1.2947086968425532,3,34529.21420151982,49340.88550857214
310101019000,黄浦区,老西门街道,street,16323,1211855.9848510674,581837.5413157673,3.7929276418685913,0.7572974562644958,0.0,22.05335727596283,1.324201364517212,2.720828194618225,121.18559848510674,355619.0037969203,3454785.656930157,13.273948267805768,1.567141423436915,0.5637770926927173,0.0,3.1378114107220405,0.8433764808975972,1.3139462764679035,1,31304.00640029751,27464.435311753077
310101020000,黄浦区,五里桥街道,street,45959,3047402.34361558,1083805.9008073106,5.644594940245152,2.036539852619171,0.6067556738853455,39.81518306219578,3.3007057309150696,2.634905297756195,304.740234361558,354802.72076466476,3452607.360526268,13.89599030932705,1.8938037332335338,1.1107186607940407,0.4742170365437738,3.7090541460628255,1.4587791327013546,1.2905830577592214,0,40581.34218329395,38988.45463672415
310101021000,黄浦区,打浦桥街道,street,49936,1573923.8394403325,2006059.4060046661,8.724923210144043,3.4057475924491882,1.6489282846450806,146.03096330368518,2.614828407764435,12.54080322265625,157.39238394403324,354169.0930046967,3453784.2785207527,14.511683359714981,2.274691993344188,1.4829099595056727,0.9741551373092991,4.990643199317305,1.2850443877523172,2.605707587929677,0,67962.18928204404,65688.30698952705
310101022000,黄浦区,淮海中路街道,street,81561,1416476.1154294782,2575498.808834623,27.797265547811985,3.6780454111099243,3.4427068614959717,212.08555641117692,4.61942090511322,21.609835958480836,141.64761154294783,354446.1816566094,3455042.339423647,14.761554173763205,3.360280436377691,1.5428803754919391,1.491263844171025,5.361693758352215,1.7262286168016285,3.1183850309995536,2,87159.67893786397,98880.44078370393
310101023000,黄浦区,瑞金二路街道,street,52840,1941787.9974547457,653324.7093882221,15.245405453443528,9.107872812747955,5.856842637062073,239.58569649932383,4.989790055751801,23.97903965830803,194.17879974547458,353351.62806868745,3454858.8115925486,13.389831073166762,2.7878101274703297,2.3133146066161494,1.9252470787989993,5.4830763524771555,1.7900563623898844,3.2180370595352086,0,74119.8662911472,69238.73751012194
310104003000,徐汇区,天平路街道,street,57800,2691625.915632617,374481.11170692643,14.247562465667725,5.203958260416985,17.436992880702018,172.76606705594062,7.066218656897545,23.718356517553328,269.16259156326174,351903.16799663444,3453546.739520645,12.833299314995989,2.724419651961045,1.8251875174414,2.9143591289462916,5.157709952434011,2.087684804551086,3.2075461464615906,3,106089.39569706091,87205.02253357049
310104004000,徐汇区,湖南路街道,street,48700,1721303.1148307528,1260743.255199633,16.60953129914403,3.9815877586603166,7.278349151015282,218.8936874152422,4.25158711194992,24.39774836719036,172.13031148307527,351668.70231870754,3454416.0036009075,14.047212783275514,2.8684403065459647,1.6057486672622454,2.113643570622048,5.39314419053313,1.658530337956047,3.2346605231341075,3,144331.01292543457,116257.7610117953
310104007000,徐汇区,斜土路街道,street,29800,3228508.8519122116,2055356.8074672003,2.524772865176201,2.206034381389618,0.79278963804245,59.55767899417877,0.6713299751281738,3.556466515660286,322.85088519122115,353196.42942473636,3451886.520370305,14.535960506311934,1.2598159987771749,1.1650347782064707,0.5837728637257454,4.103596282671144,0.5136197017689094,1.5165474362296403,3,65659.81239521857,61398.45852457047
310104008000,徐汇区,枫林路街道,street,56800,2669748.4114901237,985025.8375547712,4.317917461395264,1.3357268571853638,5.546462297439575,42.583011831998824,8.057307977676391,3.207661360502243,266.9748411490124,352042.65536571003,3451877.4362013876,13.800424166031553,1.67108177209024,0.8483231305546601,1.8789247964755598,3.774667437546055,2.203571943195419,1.436906997031292,3,63417.30842959325,57793.74256217755
