district,ordinary_control_count,sum_control_area_km2,union_area_km2,within_district_overlap_m2,parent_reference,area_outside_parent_reference_m2,gap_inside_parent_reference_m2,empty_geometry_count,invalid_geometry_count,duplicate_code_count,min_control_area_km2,max_control_area_km2
徐汇区,13,55.1915649985722,55.191564998572176,2.2351741790771484e-08,geoBoundaries 2017 ADM3 (diagnostic only),585832.6560650265,52516.453842424555,0,0,0,1.7213031148307139,7.2916983955863826
普陀区,10,55.80846320450288,55.808463204502885,0.0,geoBoundaries 2017 ADM3 (diagnostic only),152372.65864772943,101036.13765480195,0,0,0,2.0756701136722406,19.158070902940246
杨浦区,12,60.50791963668764,60.507919636687625,1.4901161193847656e-08,geoBoundaries 2017 ADM3 (diagnostic only),5959.4266642021885,3708.716063236228,0,0,0,1.9593100940963109,9.612948891816671
浦东新区,36,1401.9614030603964,1401.9614030603984,0.0,geoBoundaries 2017 ADM3 (diagnostic only),8436956.727224985,47068900.913337655,0,0,0,3.727909827809449,161.13258806844956
虹口区,8,23.365922081509186,23.365922081509222,0.0,geoBoundaries 2017 ADM3 (diagnostic only),41742.42745235738,19851.570055888118,0,0,0,1.6656645416178688,4.209077197465194
长宁区,10,37.16021540093355,37.1602154009335,4.470348358154297e-08,geoBoundaries 2017 ADM3 (diagnostic only),210306.17588845798,194929.24778929335,0,0,0,1.424018414954506,11.908376495338464
静安区,14,36.74043324623714,36.74043324623714,0.0,geoBoundaries 2017 ADM3 (diagnostic only),36182.24278107695,60096.4938855899,0,0,0,1.0780833653158255,7.7669020090730445
黄浦区,10,20.554624237174483,20.554624237174473,1.1175870895385742e-08,geoBoundaries 2017 ADM3 (diagnostic only),38725.559140907855,36776.62252047481,0,0,0,1.1988817172667054,3.0474023436156212
