limit_minutes,central_employment_with_fixed_district_totals,rounding_minimum_employment_with_fixed_district_totals,rounding_maximum_employment_with_fixed_district_totals,rounding_minus_percentage_points,rounding_plus_percentage_points
10,64770.30084460464,64657.69843817147,64883.82562782007,-0.0008595738057974573,0.0008666149601229225
20,225058.69171788968,224621.9748815743,225620.17330278843,-0.0033337684774103413,0.004286186042596462
30,757795.3052477108,756385.7826484554,760060.3115034692,-0.010759882877979642,0.01729039466463758
40,1998517.7162807328,1992461.25313835,2004771.2254332243,-0.04623326656930646,0.047737458124280395
50,3691257.926855363,3683796.2582025686,3698395.9751462843,-0.0569601940549018,0.05448977095383077
