district,residual_id,residual_class,employment_nominal,rounding_lower,rounding_upper,reason,central_rule,central_is_spatially_allocated,employment_universe,reference_date
宝山区,outer-宝山区-residual,finance,4784,4784,4784,geographic rows exclude finance; rounded rows reconciled to district less official J,district-wide workplace-evidence overlay,True,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,2023-12-31
嘉定区,outer-嘉定区-residual,finance,9871,9871,9871,published geographic shares exclude finance,district-wide workplace-evidence overlay,True,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,2023-12-31
松江区,outer-松江区-residual,unsubdivided_publication_difference,4428,4428,4428,published row sum is below the table total; no row-level reason is stated,district-wide workplace-evidence overlay,True,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,2023-12-31
青浦区,outer-青浦区-residual,finance,4607,4607,4607,geographic rows exclude finance,district-wide workplace-evidence overlay,True,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,2023-12-31
奉贤区,outer-奉贤区-residual,directly_managed_finance,4699,4699,4699,geographic rows exclude directly managed finance,district-wide workplace-evidence overlay,True,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,2023-12-31
崇明区,outer-崇明区-residual,finance,5425,5425,5425,geographic rows exclude finance,district-wide workplace-evidence overlay,True,people employed by Shanghai legal entities at 2023-12-31; individual-business employment excluded,2023-12-31
