district,accounting_stratum_id,official_control_name_2023,control_type,employment_published,employment_reconciled,rounding_lower,rounding_upper,publication_unit,row_is_official_fine_control,fine_table_status,source_url,source_table,boundary_support,osm_match_name,geometry_is_approximate
嘉定区,outer-嘉定区-07,徐行镇,town,5.7,49302,48820,49686,"percentage of geographically allocated employment, one decimal",True,official rounded shares; maximum-entropy proportional counts constrained to fine subtotal,https://www.jiading.gov.cn/upload/tongji/ContentManage/Article/File/8880f9029c32450584bcba4b0f341050.pdf,geographic employment infographic,osm_relation,徐行镇,True
嘉定区,outer-嘉定区-08,真新街道,street,5.3,45842,45364,46229,"percentage of geographically allocated employment, one decimal",True,official rounded shares; maximum-entropy proportional counts constrained to fine subtotal,https://www.jiading.gov.cn/upload/tongji/ContentManage/Article/File/8880f9029c32450584bcba4b0f341050.pdf,geographic employment infographic,osm_relation,真新街道,True
嘉定区,outer-嘉定区-09,菊园新区,town,4.2,36328,35859,36724,"percentage of geographically allocated employment, one decimal",True,official rounded shares; maximum-entropy proportional counts constrained to fine subtotal,https://www.jiading.gov.cn/upload/tongji/ContentManage/Article/File/8880f9029c32450584bcba4b0f341050.pdf,geographic employment infographic,osm_relation,菊园街道,True
嘉定区,outer-嘉定区-10,华亭镇,town,2.4,20759,20306,21171,"percentage of geographically allocated employment, one decimal",True,official rounded shares; maximum-entropy proportional counts constrained to fine subtotal,https://www.jiading.gov.cn/upload/tongji/ContentManage/Article/File/8880f9029c32450584bcba4b0f341050.pdf,geographic employment infographic,osm_relation,华亭镇,True
嘉定区,outer-嘉定区-11,新成路街道,street,2.3,19894,19441,20307,"percentage of geographically allocated employment, one decimal",True,official rounded shares; maximum-entropy proportional counts constrained to fine subtotal,https://www.jiading.gov.cn/upload/tongji/ContentManage/Article/File/8880f9029c32450584bcba4b0f341050.pdf,geographic employment infographic,osm_relation,新成路街道,True
嘉定区,outer-嘉定区-12,嘉定镇街道,street,2.2,19029,18577,19442,"percentage of geographically allocated employment, one decimal",True,official rounded shares; maximum-entropy proportional counts constrained to fine subtotal,https://www.jiading.gov.cn/upload/tongji/ContentManage/Article/File/8880f9029c32450584bcba4b0f341050.pdf,geographic employment infographic,osm_relation,嘉定镇街道,True
金山区,金山区-district-fallback,金山区 district total,district_fallback,393752.0,393752,393752,393752,people,False,no compatible Fifth Economic Census fine table located,https://tjj.sh.gov.cn/tjnj/jjpcnj2023/zk/html/A1-02.xls,Shanghai district total A1-02,district_fallback,,True
松江区,outer-松江区-01,岳阳街道,street,35808.0,35808,35808,35808,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,岳阳街道,True
松江区,outer-松江区-02,永丰街道,street,33857.0,33857,33857,33857,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,永丰街道,True
松江区,outer-松江区-03,方松街道,street,35607.0,35607,35607,35607,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,方松街道,True
松江区,outer-松江区-04,中山街道,street,82534.0,82534,82534,82534,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,中山街道,True
松江区,outer-松江区-05,广富林街道,street,20170.0,20170,20170,20170,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,广富林街道,True
松江区,outer-松江区-06,九里亭街道,street,15407.0,15407,15407,15407,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,九里亭街道,True
松江区,outer-松江区-07,泗泾镇,town,51348.0,51348,51348,51348,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,泗泾镇,True
松江区,outer-松江区-08,佘山镇,town,35298.0,35298,35298,35298,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,佘山镇,True
松江区,outer-松江区-09,车墩镇,town,62668.0,62668,62668,62668,people,True,official exact count,https://www.songjiang.gov.cn/shsj_main/6fe2fe14-800b-4242-b74b-abdaba8eecc5/8888bc4a-2f90-4d61-a978-35850f81cdef/上海市松江区第五次经济普查主要数据公报.pdf,geographic employment table,osm_relation,车墩镇,True
