station,lon,lat
隆德路,121.41893015,31.23234265
鞍山新村,121.5051431,31.275278049999997
黄兴路,121.5240955,31.2809549
徐家汇,121.4323653,31.1963162
顾唐路,121.6522724,31.2682621
上海体育场,121.43905430000001,31.1861434
中山北路,121.45447,31.2614891
巨峰路,121.58468855000001,31.2825586
虹口足球场,121.47473535,31.27256225
衡山路,121.4419408,31.2064527
镇坪路,121.42611735,31.2483655
东宝兴路,121.475705,31.2618273
曹杨路,121.41312,31.2411734
爱国路,121.5482806,31.2819802
同济大学,121.5020648,31.2844191
江宁路,121.4398643,31.2461078
凌兆新村,121.4848877,31.1430265
龙华,121.4484325,31.1757481
金粤路,121.6247466,31.2443209
龙耀路,121.4551734,31.1615085
北新泾,121.3690974,31.2183955
上海财经大学,121.4918856,31.3105857
延安西路,121.4124439,31.21142
金沙江路,121.40791825,31.2335998
延吉中路,121.5306115,31.2907317
上海体育馆,121.432075,31.1841962
东靖路,121.5846216,31.2928062
延长路,121.4506814,31.2733596
曲阳路,121.4857918,31.278536
野生动物园,121.6948475,31.0524277
宜山路,121.4227293,31.188519
民雷路,121.663802,31.2704573
中宁路,121.4100155,31.2469107
复兴岛,121.5569642,31.2830231
虹桥路,121.41683954999999,31.1989589
芦恒路,121.4938183,31.1202135
龙漕路,121.4398149,31.1713411
桂桥路,121.6309638,31.2526202
岚皋路,121.4171405,31.2580255
淞虹路,121.3558076,31.2199749
云锦路,121.4538663,31.1695006
殷高路,121.4909886,31.3235982
红宝石路,121.3935935,31.2005785
长风公园,121.3913599,31.2271864
黄兴公园,121.5288185,31.2978586
上海马戏城,121.4463792,31.281219649999997
五角场,121.5100685,31.2997402
五洲大道,121.5851041,31.3046922
申江路,121.6226106,31.2823166
曹路,121.6784911,31.273409
桂林路,121.4124743,31.1769519
上海游泳馆,121.4367543,31.1812817
枫桥路,121.4057154,31.2443442
真如,121.4022736,31.25257355
东陆路,121.5746438,31.2846873
赤峰路,121.4779161,31.2831792
宋园路,121.4079018,31.1983438
浦江镇,121.5018729,31.0986267
漕宝路,121.42971835,31.1703159
新村路,121.4182,31.2652861
惠南,121.7573174,31.056003
虹桥2号航站楼,121.3216102,31.1961327
大渡河路,121.3904607,31.23416555
姚虹路,121.401447,31.1933467
长江南路,121.48555285,31.3343414
翔殷路,121.5275779,31.3071133
汶水路,121.4455881,31.2945322
江湾体育场,121.5099408,31.3050228
洲海路,121.585197,31.3143994
金京路,121.6107908,31.2818724
漕河泾开发区,121.3930551,31.1724448
杨高北路,121.598584,31.2822892
铜川路,121.39252025,31.253037749999997
大柏树,121.4786881,31.291411
伊犁路,121.3980259,31.2011073
桂林公园,121.41431385,31.16937
江月路,121.5042158,31.0863135
大华三路,121.4185025,31.2756155
漕溪路,121.4338149,31.1786074
吴中路,121.409253,31.1860595
梅岭北路,121.3921022,31.2457461
嫩江路,121.5274809,31.316777
通南路,121.4752177,31.3395488
上海南站,121.4260241,31.1565603
彭浦新村,121.4439361,31.3074944
三门路,121.5038915,31.3152515
外高桥保税区南,121.5977257,31.3237655
虹桥火车站,121.3137444,31.1959975
真光路,121.3797034,31.2550635
江湾镇,121.4805955,31.3074899
合川路,121.3801556,31.1684275
水城路,121.3876028,31.2012461
联航路,121.5062085,31.0756303
虹漕路,121.4061275,31.1662502
上海西站,121.3966434,31.2651065
惠南东,121.7895151,31.0286244
行知路,121.4171585,31.2859284
石龙路,121.4386219,31.1598584
市光路,121.5276336,31.3247936
共康路,121.4420271,31.3217011
锦江乐园,121.4095153,31.1440689
长江西路,121.4705382,31.3481133
殷高东路,121.5024309,31.3238015
七宝,121.3450601,31.1574038
七莘路,121.3572069,31.1329965
三林南,121.4820207,31.1280131
