district,accounting_stratum_id,control_name,control_type,official_control_total_employment,employment_I,employment_J,employment_M,employment_721,employment_723,employment_724,employment_725,inside_I,inside_J,inside_M,inside_721,inside_723,inside_724,inside_725,control_core_employment,control_core_plus_base_employment,core_inside_50min,core_plus_base_inside_50min,core_capture_percentage,core_plus_capture_percentage,contribution_to_core_plus_base_numerator_percentage,numerator_rank,fine_control_rank
崇明区,outer-崇明区-03,新河镇,town,6444,39,0,160,94,21,150,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199,506,0.0,0.0,0.0,0.0,0.0,199,191
崇明区,outer-崇明区-04,庙镇,town,4877,30,0,121,71,16,114,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151,383,0.0,0.0,0.0,0.0,0.0,200,192
崇明区,outer-崇明区-05,竖新镇,town,5472,33,0,136,80,18,128,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,430,0.0,0.0,0.0,0.0,0.0,201,193
崇明区,outer-崇明区-06,向化镇,town,5672,35,0,141,83,18,132,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176,446,0.0,0.0,0.0,0.0,0.0,202,194
崇明区,outer-崇明区-07,三星镇,town,2400,15,0,59,35,8,56,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74,188,0.0,0.0,0.0,0.0,0.0,203,195
崇明区,outer-崇明区-08,港沿镇,town,4303,26,0,107,63,14,100,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,338,0.0,0.0,0.0,0.0,0.0,204,196
崇明区,outer-崇明区-09,中兴镇,town,3407,21,0,84,50,11,80,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105,268,0.0,0.0,0.0,0.0,0.0,205,197
崇明区,outer-崇明区-10,陈家镇,town,12059,73,0,299,177,39,282,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372,948,0.0,0.0,0.0,0.0,0.0,206,198
崇明区,outer-崇明区-11,绿华镇,town,1186,7,0,29,17,4,28,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,93,0.0,0.0,0.0,0.0,0.0,207,199
崇明区,outer-崇明区-12,港西镇,town,3135,19,0,78,46,10,73,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97,246,0.0,0.0,0.0,0.0,0.0,208,200
崇明区,outer-崇明区-13,建设镇,town,4314,26,0,107,63,14,101,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,339,0.0,0.0,0.0,0.0,0.0,209,201
崇明区,outer-崇明区-14,新海镇,town,2033,12,0,50,30,7,48,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,160,0.0,0.0,0.0,0.0,0.0,210,202
崇明区,outer-崇明区-15,东平镇,town,2640,16,0,65,39,8,62,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81,207,0.0,0.0,0.0,0.0,0.0,211,203
崇明区,outer-崇明区-16,长兴镇,town,32990,200,0,818,484,107,770,213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1018,2592,0.0,0.0,0.0,0.0,0.0,212,204
崇明区,outer-崇明区-17,新村乡,township,2968,18,0,74,44,9,69,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,233,0.0,0.0,0.0,0.0,0.0,213,205
崇明区,outer-崇明区-18,横沙乡,township,3003,18,0,74,44,10,70,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,236,0.0,0.0,0.0,0.0,0.0,214,206
崇明区,outer-崇明区-19,前卫农场,functional_zone,791,5,0,20,12,2,18,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,62,0.0,0.0,0.0,0.0,0.0,215,207
崇明区,outer-崇明区-20,东平林场,functional_zone,633,4,0,16,9,2,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,50,0.0,0.0,0.0,0.0,0.0,216,208
崇明区,outer-崇明区-21,上实现代农业园区,functional_zone,428,3,0,11,6,1,10,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,34,0.0,0.0,0.0,0.0,0.0,217,209
