district,accounting_stratum_id,control_name,control_type,official_control_total_employment,employment_I,employment_J,employment_M,employment_721,employment_723,employment_724,employment_725,inside_I,inside_J,inside_M,inside_721,inside_723,inside_724,inside_725,control_core_employment,control_core_plus_base_employment,core_inside_50min,core_plus_base_inside_50min,core_capture_percentage,core_plus_capture_percentage,contribution_to_core_plus_base_numerator_percentage,numerator_rank,fine_control_rank
杨浦区,310110006000,平凉路街道,street,49638,8126,0,5522,654,144,1042,288,8125.98718454894,0.0,5521.99145636596,654.0,144.0,1042.0,288.0,13648,15776,13647.978640914898,15775.978640914898,99.99984350025572,99.99986461026178,1.3015767588226088,24,21
徐汇区,310104008000,枫林路街道,street,56800,8271,0,5655,1083,239,1727,478,7454.119528331978,0.0,5088.679264260235,975.135824381032,214.95222746459785,1552.4759728533768,431.1097451759636,13926,17453,12542.798792592212,15716.472562467185,90.06749097078999,90.05026392291975,1.2966672866130466,25,22
徐汇区,310104004000,湖南路街道,street,48700,7091,0,4849,929,205,1481,409,6805.359167662389,0.0,4655.130396320372,893.0384735104277,197.4469715892824,1421.8998735871442,393.58348670047553,11940,14964,11460.48956398276,14366.458369370092,95.98399969834809,96.00680546224332,1.1852861078087926,26,23
杨浦区,310110008000,江浦路街道,street,44382,7266,0,4937,585,129,931,258,7266.0,0.0,4937.0,585.0,129.0,931.0,258.0,12203,14106,12203.0,14106.0,100.0,100.0,1.1637973261661925,27,24
浦东新区,310115010000,南码头路街道,street,41750,4753,3967,3126,632,139,1007,279,4596.121255679548,3814.26105770574,3005.3595188137674,610.3457877811863,135.25867630588036,970.1160059406544,268.893584165683,11846,13903,11415.741832199055,13400.355886392465,96.36790336146429,96.384635592264,1.1055790692087726,28,25
黄浦区,310101023000,瑞金二路街道,street,52840,2900,739,3351,1897,418,3024,837,2900.0,739.0,3351.0,1897.0,418.0,3024.0,837.0,6990,13166,6990.0,13166.0,100.0,100.0,1.0862438392389115,29,26
黄浦区,310101021000,打浦桥街道,street,49936,2741,699,3166,1793,395,2858,791,2741.0,699.0,3166.0,1793.0,395.0,2858.0,791.0,6606,12443,6606.0,12443.0,100.0,100.0,1.0265936572725032,30,27
杨浦区,310110009000,四平路街道,street,45502,7449,0,5062,599,132,955,264,6379.859035503031,0.0,4339.067581554031,515.2579860433927,111.6517222984372,819.3241060023455,229.56499983738595,12511,14461,10718.926617057065,12394.725431238625,85.67601804058079,85.71139915108652,1.0226108262753169,31,28
浦东新区,310115103000,川沙新镇,town,89000,10132,8457,6665,1346,297,2146,594,3976.616556653311,3603.271070815478,2488.1688628700654,543.7991414635385,127.06386978637627,847.830058191199,236.5308687316543,25254,29637,10068.056490338857,11823.280428511622,39.86717545869507,39.89364790131128,0.9754644937767544,32,29
静安区,310106011000,石门二路街道,street,47000,4405,43,2592,1406,310,2241,620,4405.0,43.0,2592.0,1406.0,310.0,2241.0,620.0,7040,11617,7040.0,11617.0,100.0,100.0,0.9584455932278928,33,30
虹口区,310109017000,四川北路街道,street,51996,2679,3844,2504,825,182,1315,364,2654.5063878814326,3807.499065034571,2483.838745397597,817.537187650241,179.32672206159594,1303.585533371773,361.13337863034,9027,11713,8945.8441983136,11607.427020027551,99.1009659722344,99.09866831748955,0.9576557868692243,34,31
长宁区,310105001000,华阳路街道,street,48926,5405,605,2180,1044,230,1663,460,5322.479539435189,594.1958177884292,2149.777601569661,1027.0041610271517,226.97155670187783,1633.297650600007,453.8989251334344,8190,11587,8066.452958793278,11407.62525225575,98.49148911835503,98.45193106287866,0.9411713998639711,35,32
浦东新区,310115114000,唐镇,town,43000,4895,4086,3220,651,143,1037,287,3837.52780285294,3125.090661847551,2557.1353043266326,504.4044001204609,108.04376551614584,811.9254517228214,220.6132352679977,12201,14319,9519.753769027124,11164.74062165455,78.02437315816017,77.97151073157728,0.9211325168595377,36,33
杨浦区,310110019000,五角场街道,street,105944,17344,0,11786,1395,307,2224,615,5637.65817945203,0.0,3897.404970696237,398.0808432471019,80.24358530327639,709.7385707723063,170.98185553805374,29130,33671,9535.063150148266,10894.108005009004,32.73279488550727,32.354572198654644,0.8988043220753715,37,34
长宁区,310105006000,天山路街道,street,70756,7817,875,3153,1509,333,2405,665,4878.152045702797,640.0654981622241,1924.1334912737989,1036.23019632226,238.63078365929383,1511.865039802518,460.484933028085,11845,16757,7442.3510351388195,10689.561987950976,62.8311611240086,63.79162134004282,0.8819285169052257,38,35
黄浦区,310101020000,五里桥街道,street,45959,2522,643,2914,1650,364,2631,728,2337.9812213782525,598.957434835019,2688.7800838757507,1531.2858892928036,339.26149066807204,2439.880413676293,671.8414386576358,6079,11452,5625.718740089022,10607.987972383826,92.54348972016815,92.6300032516925,0.875198358022361,39,36
静安区,310106014000,曹家渡街道,street,48000,4499,44,2647,1436,316,2289,633,3956.410452650731,38.707493459522425,2332.3958527100444,1258.0566007111836,277.1285064519994,2011.9431800155487,556.6929459228309,7190,11864,6327.513798820298,10431.33503192186,88.0043643785855,87.92426695820853,0.8606238351406774,40,37
浦东新区,310115130000,三林镇,town,96000,10929,9122,7189,1452,320,2315,641,3153.9145180173973,2685.314746939824,2058.978767340864,422.86270753630816,97.80504891082772,673.7394873557033,194.6635722161338,27240,31968,7898.208032298085,9287.27884831706,28.994889986410005,29.05179819919,0.7662349561201779,41,38
浦东新区,310115136000,康桥镇,town,57000,6489,5416,4269,862,190,1375,380,3120.775739326549,2639.1190005826884,2043.511987996635,414.9122915319937,98.40049559157238,663.3744119527437,194.3088273579096,16174,18981,7803.406727905873,9174.40275434009,48.24661016387952,48.33466495095142,0.7569222596535338,42,39
虹口区,310109014000,嘉兴路街道,street,40429,2083,2989,1947,642,141,1023,283,2083.0,2989.0,1947.0,642.0,141.0,1023.0,283.0,7019,9108,7019.0,9108.0,100.0,100.0,0.7514437860996512,43,40
长宁区,310105002000,江苏路街道,street,37808,4177,468,1685,806,178,1285,355,4177.0,468.0,1685.0,806.0,178.0,1285.0,355.0,6330,8954,6330.0,8954.0,100.0,100.0,0.7387382148370967,44,41
浦东新区,310115007000,周家渡街道,street,24750,2818,2352,1854,374,82,597,165,2800.782349452149,2342.711859044887,1839.7484213410864,373.39811025993566,82.0,593.7518854849247,165.0,7024,8242,6983.242629838122,8197.392625582983,99.41974131318511,99.45877973286802,0.6763152998148263,45,42
浦东新区,310115009000,上钢新村街道,street,25750,2931,2447,1928,390,86,621,172,2774.038616391451,2323.268698325062,1828.7706900359983,373.3415229961263,82.68715390492538,590.2579223235011,166.44695676774407,7306,8575,6926.07800475251,8138.811560744807,94.79986319124706,94.91325435270912,0.6714821446593862,46,43
徐汇区,310104007000,斜土路街道,street,29800,4339,0,2967,569,125,906,251,3726.436796889762,0.0,2567.3457025975013,488.7727735730651,106.0,780.5455471461302,219.0,7306,9157,6293.782499487263,7888.100820206458,86.14539418953275,86.14285049914227,0.6507975785542056,47,44
黄浦区,310101015000,半淞园路街道,street,30334,1665,424,1924,1089,240,1736,480,1654.1805270736525,421.5230951214151,1912.5640841036288,1082.9693770917854,239.03355323395328,1725.1805270736525,477.1628463962877,4013,7558,3988.267706298696,7512.614010094375,99.3836956466159,99.39949735504598,0.619818523852723,48,45
静安区,310106006000,江宁路街道,street,35000,3280,32,1930,1047,231,1669,462,2666.2419533196603,26.931253579958067,1569.8519187717443,849.7566621448751,186.78113181242475,1354.0545539867735,375.0200233451449,5242,8651,4263.025125671363,7028.637496960581,81.32440148171237,81.24653215767636,0.5798886662097096,49,46
浦东新区,310115125000,张江镇,town,21000,2391,1995,1573,318,70,506,140,2270.111925140841,1893.111925140841,1492.9141242131625,312.0,70.0,484.6870786894758,140.0,5959,6993,5656.1379744948445,6662.8250531843205,94.9175696340803,95.27849353902933,0.5497077826179662,50,47
普陀区,310107015000,长寿路街道,street,96000,10691,0,6041,1980,437,3156,873,3010.2245368174667,0.0,1673.1242472220545,565.9331459193278,128.39109530780772,896.8402030024081,244.2624103825632,16732,23178,4683.348784039521,6518.775638651628,27.99037045206504,28.12484096406777,0.5378231715681325,51,48
静安区,310106022000,芷江西路街道,street,28000,2624,25,1544,838,185,1335,370,2458.20270769688,23.64072842927821,1449.414633994284,786.2132829716276,173.19986222368837,1252.377863078987,348.6994424749181,4193,6921,3931.2580701204415,6491.748520869664,93.75764536418896,93.79784020906898,0.5355933340941054,52,49
浦东新区,310115132000,周浦镇,town,48000,5465,4561,3595,726,160,1157,320,2137.936094811706,1763.92330546918,1399.8490316733798,288.4776650387646,62.721068192000864,455.0472906514207,133.86886934314293,13621,15984,5301.7084319542655,6241.823325179595,38.92304846893962,39.05044622860107,0.5149735783528842,53,50
浦东新区,310115012000,金杨新村街道,street,23750,2704,2257,1779,359,79,573,158,2108.51465021704,1730.1499166037977,1391.7621768864756,275.42122687434545,59.910355798638726,444.8759821887515,121.8870037559862,6740,7909,5230.426743707313,6132.521312325036,77.60277067815005,77.53851703533994,0.5059557568368827,54,51
长宁区,310105005000,周家桥街道,street,25426,2809,314,1133,542,119,865,239,2761.4139219807857,308.2461195069197,1115.241954412236,532.6246665507047,116.51835326982342,850.863407368451,235.3785470437849,4256,6021,4184.9019958999415,5920.286970132705,98.32946418937831,98.32730393842726,0.48844563632333693,55,52
黄浦区,310101018000,豫园街道,street,19681,1080,275,1248,707,156,1126,312,1080.0,275.0,1248.0,707.0,156.0,1126.0,312.0,2603,4904,2603.0,4904.0,100.0,100.0,0.4045981913738131,57,53
虹口区,310109011000,广中路街道,street,33773,1741,2497,1626,536,118,854,236,1011.0078867645648,1550.0782480543487,938.8722243481474,327.4370877488378,73.67567008165388,498.0704916406867,148.97225047881724,5864,7608,3499.9583591670607,4548.113859117057,59.68551089984756,59.780676381664776,0.3752362645923602,58,54
黄浦区,310101019000,老西门街道,street,16323,896,229,1035,586,129,934,258,896.0,229.0,1035.0,586.0,129.0,934.0,258.0,2160,4067,2160.0,4067.0,100.0,100.0,0.33554258652473445,59,55
杨浦区,310110012000,控江路街道,street,15491,2536,0,1723,204,45,325,90,1947.9048364154776,0.0,1316.8242462892904,156.363848639586,34.98304009834346,249.4536294560436,71.79120136831072,4259,4923,3264.729082704768,3777.320802267052,76.65482701819131,76.72802767148185,0.31164297814762026,60,56
长宁区,310105008000,仙霞新村街道,street,20827,2301,257,928,444,98,708,196,1679.893557724304,202.44720334445336,658.0911784460243,340.1268313372905,76.1535295459247,519.2015971483056,151.30036644518904,3486,4932,2540.4319395147813,3627.2142639914914,72.87527078355654,73.54449034857039,0.29925863192011704,61,57
虹口区,310109009000,欧阳路街道,street,21300,1098,1575,1026,338,74,539,149,827.6699878079032,1173.5201677310408,777.6164645908101,252.2795526166988,53.80131041368243,405.2507911767108,109.68312804705415,3699,4799,2778.8066201297543,3599.8214023839005,75.12318518869301,75.01190669689312,0.29699861922374987,63,58
静安区,310106017000,宝山路街道,street,21000,1968,19,1158,628,138,1002,277,1371.1780719961992,11.026653352268715,796.2217884286596,430.9511557921839,93.72983883369918,691.3686284576207,188.83354364691235,3145,5190,2178.426513777128,3583.309680507544,69.26634384029022,69.0425757323226,0.29563634091876595,64,59
长宁区,310105004000,新华路街道,street,52426,5792,649,2336,1118,246,1782,493,1281.5096641821,142.6991982088561,535.9105749533353,243.97669495379665,53.62355303019194,398.1854521874144,108.64660058459684,8777,12416,1960.119437344292,2764.5517381002915,22.332453427643745,22.26604170506034,0.22808577348994888,65,60
浦东新区,310115014000,浦兴路街道,street,16750,1907,1592,1254,253,56,404,112,783.1878564907654,687.3736757667226,510.5558784346925,107.42607797330108,23.04342743782637,168.87544726379463,48.01919761968781,4753,5578,1981.1174106921808,2328.481560986791,41.68140986097582,41.7440222478808,0.1921083662770246,67,61
浦东新区,310115120000,金桥镇,town,20000,2277,1900,1498,303,67,482,133,747.8872288075495,639.1825436059645,477.8926920656168,98.12937357826392,23.56963903559504,150.26656501568382,43.54254020811564,5675,6660,1864.9624644791304,2180.4705823167888,32.86277470447807,32.73979853328511,0.17989691149045223,68,62
普陀区,310107020000,宜川路街道,street,17000,1893,0,1070,351,77,559,155,978.7056790450832,0.0,544.9616256148171,188.62908515896729,42.48171921779168,291.12516123450774,81.68816648597777,2963,4105,1523.6673046599003,2127.5914367571445,51.42312874316235,51.82926764329218,0.1755341858267441,69,63
静安区,310106018000,共和新路街道,street,31000,2906,28,1709,927,205,1478,409,814.7569569127503,7.698497055198367,471.5186646531097,249.69971274165025,55.68495882524858,407.3476169817555,100.7000696511878,4643,7662,1293.9741186210583,2107.4064768209005,27.869354267091506,27.50465252963848,0.17386885175595349,70,64
浦东新区,310115137000,航头镇,town,39000,4440,3706,2921,590,130,940,260,680.9193434898036,497.099299237039,457.3544508816397,87.5037900044787,21.29834819753108,144.56521955005132,35.21047026653076,11067,12987,1635.3730936084823,1923.9509216270744,14.77702262228682,14.814436910965384,0.15873308792461158,71,65
浦东新区,310115015000,东明路街道,street,5750,655,546,431,87,19,139,38,560.3868836061793,458.8496376309442,370.248068320769,73.57612377355883,17.705221982366893,119.15224754711764,32.87090179119193,1632,1915,1389.4845895578924,1632.7890846521277,85.13998710526302,85.26313757974557,0.13471115631018651,72,66
长宁区,310105009000,虹桥街道,street,84297,9313,1043,3756,1798,396,2865,793,656.1938674869295,75.6138197699177,259.74853635900706,128.8820207081003,28.033650996532693,201.68771643970425,55.97279772657018,14112,19964,991.5562236158544,1406.1324094867618,7.026333784125952,7.043340059540983,0.11601113982676299,73,67
浦东新区,310115139000,祝桥镇,town,82000,9335,7792,6141,1241,273,1977,547,399.0650614604287,498.7685385732248,246.6921983113372,73.70003952000471,14.083546918252695,95.8983428409975,47.76034364820253,23268,27306,1144.5257983449906,1375.968071272448,4.918883437961967,5.039068597643185,0.11352247002955676,74,68
浦东新区,310115117000,曹路镇,town,44000,5009,4181,3295,666,146,1061,294,390.92273162269385,340.89622924862493,261.6582865152687,53.85318735040534,15.521639351031206,81.21697200730075,23.58516377980485,12485,14652,993.4772473865874,1167.6542098751293,7.95736681927583,7.969247951645708,0.09633580372461176,76,69
浦东新区,310115011000,沪东新村街道,street,13750,1565,1306,1030,208,46,332,92,351.7010399076859,304.657544461729,243.6383036170916,46.49847797882406,9.169441055425066,74.90643249815952,23.260324435844648,3901,4579,899.9968879865065,1053.83156395476,23.07092765922857,23.014447782370823,0.08694501321140553,77,70
浦东新区,310115110000,合庆镇,town,38000,4326,3611,2846,575,127,916,253,313.0221922826698,319.2369675286854,192.53847850140576,46.32403493699056,13.0,69.05485686056963,20.741635168900064,10783,12654,824.7976383127609,973.9181652792212,7.649055349279059,7.6965241447702,0.08035186138215238,78,71
普陀区,310107014000,长风新村街道,street,90000,10023,0,5664,1856,409,2959,818,326.42954949963905,0.0,184.9222953376238,60.217270253197306,13.605618663016706,98.57535055811366,24.38466926320963,15687,21729,511.3518448372629,708.1347535748001,3.259717248914788,3.2589385317999,0.05842374399374081,79,72
长宁区,310105102000,新泾镇,town,148418,16397,1836,6613,3165,698,5045,1395,319.1098715738429,39.0516087884754,128.52441259321483,65.81906855789953,13.822955319023064,96.05285743053943,30.255640938252263,24846,35149,486.6858929555331,692.6364152012474,1.9588098404392384,1.970572179012909,0.057145073586881354,80,73
浦东新区,310115133000,新场镇,town,26000,2960,2470,1947,393,87,627,174,205.81070274508065,127.14183828999016,143.6554142534324,28.20317894627295,5.0,41.91756744798785,9.998816795999849,7377,8658,476.6079552885032,561.7275184787638,6.460728687657628,6.487959326389049,0.046344604001102775,81,74
杨浦区,310110021000,长海路街道,street,40003,6549,0,4450,527,116,840,232,101.3874814487842,0.0,68.87174073677058,8.31016001159162,2.127800678107739,12.755724497775525,3.3851943710267385,10999,12714,170.2592221855548,196.8381017440564,1.547951833671741,1.5481996361810322,0.016239873564253632,83,75
杨浦区,310110001000,定海路街道,street,30849,5050,0,3432,406,90,648,179,89.16569719650072,0.0,62.26031343414692,10.16729550961241,0.0,11.42153299674339,4.9871691373288005,8482,9805,151.42601063064762,178.00200827433224,1.7852630350229617,1.8154207881114963,0.014685825980567157,84,76
长宁区,310105011000,北新泾街道,street,6332,700,78,282,135,30,215,60,73.81543296744688,8.882665015932556,30.332572377822864,15.483260464499358,3.8495886803834463,22.365925480431912,7.882665015932557,1060,1500,113.03067036120233,162.61211000244958,10.663270788792673,10.84080733349664,0.013416102284353719,85,77
普陀区,310107005000,曹杨新村街道,street,22000,2450,0,1385,454,100,723,200,43.52688027008508,0.0,24.30301143851181,9.147770813036171,2.830963921503101,12.159782720572087,4.01282873058598,3835,5312,67.82989170859689,95.98123789429422,1.7687064330794495,1.8068757133715023,0.007918808168403575,86,78
徐汇区,310104016000,龙华街道,street,59600,8679,0,5934,1137,250,1812,501,28.50229332677668,0.0,19.56782745009257,5.93446587668411,0.0,4.316680786704231,1.6177850899798796,14613,18313,48.070120776869246,59.93905253023747,0.3289544978913929,0.3273032956382758,0.004945194177486553,87,79
虹口区,310109010000,曲阳路街道,street,46159,2379,3413,2223,732,162,1167,323,15.987319628132,17.414945981971105,12.548793023514074,2.9039572246500587,0.7336323098912509,6.984668648820717,1.913633168312636,8015,10399,45.95105863361718,58.48694998529184,0.573313270537956,0.5624285987623024,0.004825390330958348,88,80
浦东新区,310115141000,宣桥镇,town,36000,4098,3421,2696,545,120,868,240,9.8338381387618,4.9169190693809,6.554188196341186,1.2267511463351386,0.0,1.637269126960285,0.4105179806251464,10215,11988,21.304945404483888,24.57948365840446,0.2085653000928427,0.205034064551255,0.0020278985793418924,89,81
